row;col;UP;ElevP50;ARMFR;ElevP90
67;23;52I212;13.4898;62.2362;27.1354
67;24;52I212;11.0919;61.0313;27.078
67;25;52I212;8.3535;59.9849;27.1647
67;26;52I212;10.1748;60.9025;27.2465
67;27;52I212;6.5378;59.2569;27.3751
67;28;52I212;5.8697;58.8974;27.0404
67;29;52I212;3.0914;57.4639;26.6309
67;30;52I212;3.6735;56.9651;26.7231
67;31;52I212;1.9224;53.2145;26.8001
67;32;52I212;6.1489;58.2638;26.6991
67;33;52I212;5.5492;59.3243;26.6277
67;34;52I212;5.5792;59.3692;26.7069
67;35;52I212;3.1012;56.3147;26.9225
67;36;52I212;2.967;55.6371;26.7534
67;37;52I212;3.5783;57.0927;26.2546
66;15;52I212;19.1825;63.4115;27.9168
66;16;52I212;11.0602;61.061;27.8958
66;17;52I212;15.8608;63.3193;28.4072
66;18;52I212;5.1341;58.4654;28.4637
66;19;52I212;9.5505;61.4226;28.5149
66;20;52I212;6.605;59.2064;29.0047
66;21;52I212;5.8636;58.099;28.3236
66;22;52I212;11.6436;62.1875;27.3805
66;23;52I212;7.915;61.1385;27.5366
66;24;52I212;8.4621;62.1072;27.3582
66;25;52I212;4.8818;58.5841;27.1984
66;26;52I212;5.0151;58.4566;27.0786
66;27;52I212;2.689;56.0864;27.0416
66;28;52I212;3.9529;59.1599;26.6263
66;29;52I212;2.3948;54.3624;26.6816
66;30;52I212;3.2184;57.1185;26.2657
66;31;52I212;2.9465;56.7371;26.0805
66;32;52I212;2.2299;55.6871;26.0352
66;33;52I212;3.2056;58.1611;25.4424
66;34;52I212;4.2455;56.9542;25.7206
66;35;52I212;3.9586;56.7534;25.731
66;36;52I212;4.1193;57.0572;26.3583
66;37;52I212;6.0085;57.0767;26.5751
66;38;52I212;8.8584;56.6884;26.5596
65;14;52I212;4.2791;53.8103;26.3984
65;15;52I212;5.9578;58.3174;26.9952
65;16;52I212;5.2095;58.3377;27.422
65;17;52I212;16.5542;62.3417;27.5417
65;18;52I212;16.4579;61.9248;27.6064
65;19;52I212;22.4792;64.7931;27.7247
65;20;52I212;19.4254;64.2967;28.3433
65;21;52I212;13.855;64.5701;27.9179
65;22;52I212;20.4492;67.8546;27.6498
65;23;52I212;13.7901;63.5069;28.0084
65;24;52I212;17.016;64.4313;27.5594
65;25;52I212;15.39;64.2771;26.9568
65;26;52I212;10.5558;61.8802;26.9755
65;27;52I212;8.6352;60.2132;26.8902
65;28;52I212;7.3038;60.3265;26.7524
65;29;52I212;11.9572;62.8615;26.5206
65;30;52I212;14.6448;64.1187;25.6938
65;31;52I212;12.6814;64.8642;25.1812
65;32;52I212;11.7335;63.4054;25.3495
65;33;52I212;14.6057;65.3812;24.5427
65;34;52I212;12.1043;62.1306;25.3789
65;35;52I212;10.7829;61.359;25.5636
65;36;52I212;4.1276;57.5678;26.0443
65;37;52I212;3.7896;56.9683;25.798
65;38;52I212;9.3164;59.2138;27.0542
65;39;52I212;14.7581;62.9992;27.5159
65;40;52I212;25.6528;74.6479;27.6383
64;13;52I212;4.0058;54.7794;26.3621
64;14;52I212;4.6168;58.2729;26.4608
64;15;52I212;3.5072;55.6871;26.356
64;16;52I212;4.4902;56.0317;26.3551
64;17;52I212;13.7982;61.7019;26.6296
64;18;52I212;21.052;65.429;26.6622
64;19;52I212;21.4581;65.5508;27.1037
64;20;52I212;20.5457;65.8591;27.5887
64;21;52I212;15.9875;63.1641;27.582
64;22;52I212;17.7503;64.9581;27.8158
64;23;52I212;16.5934;66.3628;28.2644
64;24;52I212;14.681;64.5553;27.6762
64;25;52I212;13.6293;64.3674;27.1159
64;26;52I212;9.6468;60.6849;27.1406
64;27;52I212;7.4374;59.0268;27.023
64;28;52I212;12.3142;64.6758;26.2377
64;29;52I212;13.0934;64.097;25.8842
64;30;52I212;17.9828;68.3179;25.1875
64;31;52I212;14.0097;65.1432;25.1093
64;32;52I212;16.6824;66.7468;25.31
64;33;52I212;16.9752;68.0356;24.983
64;34;52I212;13.6193;65.9577;24.7576
64;35;52I212;12.9783;65.6022;24.7823
64;36;52I212;12.2969;63.0329;25.4576
64;37;52I212;9.6787;60.7503;26.112
64;38;52I212;9.1186;60.194;26.5522
64;39;52I212;7.5203;59.1018;26.8933
64;40;52I212;14.5173;62.9488;26.6891
64;41;52I212;4.8039;58.908;25.9104
63;12;52I212;3.2575;54.5455;27.3585
63;13;52I212;3.8994;56.758;26.3873
63;14;52I212;3.2484;54.0754;25.7763
63;15;52I212;2.7383;51.5606;25.0616
63;16;52I212;3.4188;55.2568;25.4158
63;17;52I212;2.8892;53.1923;26.0269
63;18;52I212;3.9721;57.9328;26.441
63;19;52I212;7.256;60.2857;26.3613
63;20;52I212;11.8499;62.0799;26.8082
63;21;52I212;10.1977;60.731;27.3783
63;22;52I212;8.1651;60.0052;27.6568
63;23;52I212;9.6532;62.6938;27.7997
63;24;52I212;6.5087;59.517;28.0505
63;25;52I212;6.6267;60.0666;27.5519
63;26;52I212;3.836;56.5106;27.6387
63;27;52I212;3.2518;57.2497;27.0951
63;28;52I212;8.8026;63.8552;26.1192
63;29;52I212;8.3881;63.1912;25.5564
63;30;52I212;7.1093;63.2631;25.3169
63;31;52I212;5.4781;60.9683;25.7229
63;32;52I212;5.6749;61.4714;25.4878
63;33;52I212;9.4409;64.9628;25.0626
63;34;52I212;13.0448;65.7947;24.9212
63;35;52I212;10.871;64.5233;24.7148
63;36;52I212;9.4193;63.3087;24.7916
63;37;52I212;6.0295;60.6487;24.9964
63;38;52I212;7.8408;61.2152;25.3323
63;39;52I212;6.0253;58.9363;26.036
63;40;52I212;4.5134;57.9376;25.9179
63;41;52I212;3.9116;57.5565;25.9705
63;42;52I212;13.0648;66.0668;24.0385
62;11;52I212;10.1336;62.8782;27.5617
62;12;52I212;7.3035;60.7526;27.0429
62;13;52I212;4.7035;58.1262;26.276
62;14;52I212;4.3232;55.5192;25.1441
62;15;52I212;4.2823;57.8648;24.8231
62;16;52I212;4.8632;58.4906;25.4163
62;17;52I212;11.2402;61.4815;26.3874
62;18;52I212;8.3282;60.1471;26.5692
62;19;52I212;17.2111;65.3566;26.5102
62;20;52I212;17.5699;65.3865;26.591
62;21;52I212;11.7501;61.6862;26.6564
62;22;52I212;13.7342;62.5825;27.1149
62;23;52I212;12.8535;61.9863;27.811
62;24;52I212;12.1598;63.1915;27.8659
62;25;52I212;15.4526;64.872;27.7923
62;26;52I212;11.0325;63.1059;27.714
62;27;52I212;8.7329;61.9718;27.0303
62;28;52I212;13.5622;65.2585;26.1479
62;29;52I212;6.6245;60.3705;25.5974
62;30;52I212;8.1149;62.2444;25.82
62;31;52I212;4.9012;57.5523;25.8995
62;32;52I212;10.7131;63.6641;25.7859
62;33;52I212;10.907;62.4754;25.8293
62;34;52I212;12.6913;63.8337;25.5794
62;35;52I212;12.8723;64.0191;25.2388
62;36;52I212;14.3352;64.57;24.8954
62;37;52I212;15.8987;67.8385;24.7672
62;38;52I212;15.4163;67.3245;24.5468
62;39;52I212;13.8794;66.4848;24.8262
62;40;52I212;10.1579;61.5804;24.9163
62;41;52I212;4.3297;56.876;25.2974
62;42;52I212;9.3331;60.9641;25.4165
62;43;52I212;20.6545;70.282;24.1479
61;10;52I212;14.3717;66.0377;27.0977
61;11;52I212;4.6712;56.7076;27.5945
61;12;52I212;11.2512;61.6876;27.2563
61;13;52I212;9.9728;59.9683;26.1374
61;14;52I212;4.4046;56.0546;25.1754
61;15;52I212;4.5582;58.423;25.0191
61;16;52I212;6.7365;59.9764;25.5637
61;17;52I212;11.5654;60.3886;26.8362
61;18;52I212;7.0602;58.0978;27.0757
61;19;52I212;12.9761;62.2015;26.5399
61;20;52I212;10.0268;61.7066;26.4855
61;21;52I212;14.9675;65.1266;26.5129
61;22;52I212;13.1746;62.7867;26.9072
61;23;52I212;10.5063;62.0501;27.8171
61;24;52I212;12.0076;63.8619;27.8271
61;25;52I212;13.3193;64.4238;27.7136
61;26;52I212;16.9026;67.665;27.3528
61;27;52I212;12.2451;65.3475;26.8627
61;28;52I212;6.6144;59.5392;26.2041
61;29;52I212;6.3671;59.3523;25.7986
61;30;52I212;11.246;62.9791;25.5391
61;31;52I212;8.3243;60.7221;25.2721
61;32;52I212;12.7473;63.7583;25.4487
61;33;52I212;15.3165;64.1429;25.8446
61;34;52I212;10.3696;63.494;25.6375
61;35;52I212;11.0173;62.1005;25.4482
61;36;52I212;10.9981;62.7633;25.2711
61;37;52I212;15.3939;65.5937;25.2548
61;38;52I212;13.9713;64.602;24.7685
61;39;52I212;17.5053;66.7387;24.345
61;40;52I212;17.2786;66.8189;24.4109
61;41;52I212;11.1764;63.2918;24.6424
61;42;52I212;5.327;59.4494;25.2553
61;43;52I212;6.9842;61.0209;25.5974
61;44;52I212;16.3258;63.7097;25.4421
60;10;52I212;15.0589;61.7021;26.7402
60;11;52I212;4.6618;56.8048;27.2336
60;12;52I212;9.7115;61.4467;27.8425
60;13;52I212;4.3587;55.7582;26.236
60;14;52I212;10.8967;61.0594;25.348
60;15;52I212;4.7461;57.0565;25.623
60;16;52I212;4.4889;56.3982;25.6739
60;17;52I212;2.629;55.4435;26.7895
60;18;52I212;5.8336;58.3225;27.0563
60;19;52I212;7.8715;60.0129;26.8499
60;20;52I212;9.2671;61.1364;26.6871
60;21;52I212;11.3415;61.5734;27.0476
60;22;52I212;12.4115;62.9577;26.9658
60;23;52I212;11.4965;61.8525;27.3265
60;24;52I212;8.7981;61.4789;27.7875
60;25;52I212;13.919;65.7321;27.2374
60;26;52I212;11.0335;64.7086;26.8847
60;27;52I212;12.0059;64.591;26.7675
60;28;52I212;12.8083;64.494;26.3801
60;29;52I212;13.8378;66.3117;26.0013
60;30;52I212;10.4863;62.738;25.5251
60;31;52I212;16.084;63.0385;25.8903
60;32;52I212;5.0698;58.5435;25.8693
60;33;52I212;14.256;63.3426;25.4036
60;34;52I212;15.7051;64.0271;25.6302
60;35;52I212;15.0262;64.8723;25.4609
60;36;52I212;12.2272;64.3143;25.3693
60;37;52I212;10.6477;62.7857;25.3078
60;38;52I212;12.6946;64.1096;25.1051
60;39;52I212;13.8536;64.7059;24.9472
60;40;52I212;14.913;65.5023;24.4957
60;41;52I212;14.8207;64.5654;24.8225
60;42;52I212;14.4211;64.534;24.9885
60;43;52I212;3.5113;56.6103;25.8912
60;44;52I212;18.2764;66.7675;25.6313
59;10;52I212;4.6336;53.8012;26.9831
59;11;52I212;8.5671;61.7684;27.3155
59;12;52I212;10.5033;61.8373;27.832
59;13;52I212;13.6422;63.6982;27.0739
59;14;52I212;11.2686;59.1425;25.8684
59;15;52I212;5.7056;57.3293;26.1043
59;16;52I212;2.3808;48.985;26.3107
59;17;52I212;5.9596;58.6651;26.6856
59;18;52I212;10.0292;61.7937;26.6204
59;19;52I212;14.9883;63.3038;26.1921
59;20;52I212;7.0995;61.0732;27.0507
59;21;52I212;4.3859;57.0761;27.0329
59;22;52I212;5.5492;60.7532;26.6773
59;23;52I212;10.1714;59.7196;26.76
59;24;52I212;11.7567;63.7592;26.7035
59;25;52I212;14.3223;67.2663;26.3689
59;26;52I212;16.7185;67.1666;26.4382
59;27;52I212;13.548;64.622;26.4271
59;28;52I212;13.5634;64.5734;26.4176
59;29;52I212;13.3087;64.4749;25.8867
59;30;52I212;11.4628;61.2836;25.6555
59;31;52I212;20.4268;68.5857;25.363
